These are the inertia percentages associated to the 
eigenvalues  corresponding to the principal components
of the texture_CR.dat database sorted in a decreasing 
order.

  Eigenvalue      Inertia      Cumulated 
                percentage      inertia

30.2619857788 75.6687221059  75.6687221059 
 3.6505873203  9.1281279254  84.7968500313 
 2.2932808399  5.7342446677  90.5310946990 
 1.7036609650  4.2599269282  94.7910216272 
 0.6715319157  1.6791350800  96.4701567072 
 0.5014384389  1.2538240604  97.7239807677 
 0.1922477335  0.4807067331  98.2046875007 
 0.1560785174  0.3902672498  98.5949547505 
 0.1099368483  0.2748921000  98.8698468505 
 0.0890730992  0.2227232423  99.0925700928 
 0.0655897558  0.1640042078  99.2565743005 
 0.0489900261  0.1224973371  99.3790716376 
 0.0433740318  0.1084547981  99.4875264357 
 0.0344959795  0.0862556314  99.5737820671 
 0.0299149901  0.0748010751  99.6485831422 
 0.0248812120  0.0622143416  99.7107974837 
 0.0167872589  0.0419757791  99.7527732628 
 0.0161606092  0.0404088699  99.7931821327 
 0.0128873130  0.0322241414  99.8254062741 
 0.0113862231  0.0284707342  99.8538770083 
 0.0078463852  0.0196195302  99.8734965385 
 0.0071518812  0.0178829545  99.8913794930 
 0.0067649796  0.0169155244  99.9082950174 
 0.0053139539  0.0132873004  99.9215823178 
 0.0051091253  0.0127751359  99.9343574538 
 0.0047108643  0.0117793023  99.9461367561 
 0.0036186685  0.0090483164  99.9551850725 
 0.0033217887  0.0083059820  99.9634910545 
 0.0030717454  0.0076807600  99.9711718145 
 0.0026369116  0.0065934777  99.9777652922 
 0.0020992099  0.0052489792  99.9830142714 
 0.0019375444  0.0048447419  99.9878590133 
 0.0015639756  0.0039106500  99.9917696633 
 0.0009677875  0.0024199088  99.9941895721 
 0.0009577463  0.0023948013  99.9965843734 
 0.0007374916  0.0018440642  99.9984284376 
 0.0006285097  0.0015715599  99.9999999975 
 0.0000000020  0.0000000049  100.0000000024 
 0.0000000000  0.0000000000  100.0000000025 
 0.0000000000 -0.0000000025  100.0000000000 
