
mlp_net: Создан 1 слой
mlp_net: Создан 2 слой
mlp_net: Создан 3 слой
	Epochs: 10
		Training:	re(ce) = 0.201558   (0.342803  ) | numErrors = 181   | correct = 65.72
		Test:		re(ce) = 0.274496   (0.582251  ) | numErrors = 269   | correct = 41.77
	Epochs: 20
		Training:	re(ce) = 0.170353   (0.25947   ) | numErrors = 137   | correct = 74.05
		Test:		re(ce) = 0.249772   (0.430736  ) | numErrors = 199   | correct = 56.93
	Epochs: 30
		Training:	re(ce) = 0.123188   (0.130682  ) | numErrors = 69    | correct = 86.93
		Test:		re(ce) = 0.293783   (0.487013  ) | numErrors = 225   | correct = 51.30
	Epochs: 40
		Training:	re(ce) = 0.111201   (0.0852273 ) | numErrors = 45    | correct = 91.48
		Test:		re(ce) = 0.307051   (0.474026  ) | numErrors = 219   | correct = 52.60
	Epochs: 50
		Training:	re(ce) = 0.100795   (0.0662879 ) | numErrors = 35    | correct = 93.37
		Test:		re(ce) = 0.321711   (0.493506  ) | numErrors = 228   | correct = 50.65
	Epochs: 60
		Training:	re(ce) = 0.0958826  (0.0662879 ) | numErrors = 35    | correct = 93.37
		Test:		re(ce) = 0.331952   (0.482684  ) | numErrors = 223   | correct = 51.73
	Epochs: 70
		Training:	re(ce) = 0.0873112  (0.0568182 ) | numErrors = 30    | correct = 94.32
		Test:		re(ce) = 0.314658   (0.474026  ) | numErrors = 219   | correct = 52.60
	Epochs: 80
		Training:	re(ce) = 0.0875448  (0.0549242 ) | numErrors = 29    | correct = 94.51
		Test:		re(ce) = 0.336344   (0.5       ) | numErrors = 231   | correct = 50.00
	Epochs: 90
		Training:	re(ce) = 0.0744163  (0.030303  ) | numErrors = 16    | correct = 96.97
		Test:		re(ce) = 0.347309   (0.530303  ) | numErrors = 245   | correct = 46.97
	Epochs: 100
		Training:	re(ce) = 0.0829878  (0.0492424 ) | numErrors = 26    | correct = 95.08
		Test:		re(ce) = 0.336887   (0.495671  ) | numErrors = 229   | correct = 50.43
	Epochs: 110
		Training:	re(ce) = 0.0658845  (0.0208333 ) | numErrors = 11    | correct = 97.92
		Test:		re(ce) = 0.341856   (0.512987  ) | numErrors = 237   | correct = 48.70
	Epochs: 120
		Training:	re(ce) = 0.0730347  (0.0340909 ) | numErrors = 18    | correct = 96.59
		Test:		re(ce) = 0.351139   (0.487013  ) | numErrors = 225   | correct = 51.30
	Epochs: 130
		Training:	re(ce) = 0.0638174  (0.0246212 ) | numErrors = 13    | correct = 97.54
		Test:		re(ce) = 0.351032   (0.502165  ) | numErrors = 232   | correct = 49.78
	Epochs: 140
		Training:	re(ce) = 0.0713732  (0.030303  ) | numErrors = 16    | correct = 96.97
		Test:		re(ce) = 0.359384   (0.487013  ) | numErrors = 225   | correct = 51.30
	Epochs: 150
		Training:	re(ce) = 0.0646364  (0.0265152 ) | numErrors = 14    | correct = 97.35
		Test:		re(ce) = 0.362701   (0.495671  ) | numErrors = 229   | correct = 50.43
	Epochs: 160
		Training:	re(ce) = 0.0669902  (0.0246212 ) | numErrors = 13    | correct = 97.54
		Test:		re(ce) = 0.3634     (0.517316  ) | numErrors = 239   | correct = 48.27
	Epochs: 170
		Training:	re(ce) = 0.0646918  (0.0227273 ) | numErrors = 12    | correct = 97.73
		Test:		re(ce) = 0.390476   (0.521645  ) | numErrors = 241   | correct = 47.84
	Epochs: 180
		Training:	re(ce) = 0.0640274  (0.0246212 ) | numErrors = 13    | correct = 97.54
		Test:		re(ce) = 0.382904   (0.5       ) | numErrors = 231   | correct = 50.00
	Epochs: 190
		Training:	re(ce) = 0.0666614  (0.030303  ) | numErrors = 16    | correct = 96.97
		Test:		re(ce) = 0.371071   (0.510823  ) | numErrors = 236   | correct = 48.92
	Epochs: 200
		Training:	re(ce) = 0.058526   (0.0208333 ) | numErrors = 11    | correct = 97.92
		Test:		re(ce) = 0.374536   (0.525974  ) | numErrors = 243   | correct = 47.40
	Epochs: 210
		Training:	re(ce) = 0.0733733  (0.0284091 ) | numErrors = 15    | correct = 97.16
		Test:		re(ce) = 0.373563   (0.538961  ) | numErrors = 249   | correct = 46.10
	Epochs: 220
		Training:	re(ce) = 0.0637918  (0.0284091 ) | numErrors = 15    | correct = 97.16
		Test:		re(ce) = 0.394731   (0.554113  ) | numErrors = 256   | correct = 44.59
	Epochs: 230
		Training:	re(ce) = 0.0615899  (0.030303  ) | numErrors = 16    | correct = 96.97
		Test:		re(ce) = 0.399799   (0.545455  ) | numErrors = 252   | correct = 45.45
	Epochs: 240
		Training:	re(ce) = 0.0528853  (0.0151515 ) | numErrors = 8     | correct = 98.48
		Test:		re(ce) = 0.393471   (0.54329   ) | numErrors = 251   | correct = 45.67
	Epochs: 250
		Training:	re(ce) = 0.0573847  (0.0208333 ) | numErrors = 11    | correct = 97.92
		Test:		re(ce) = 0.3775     (0.532468  ) | numErrors = 246   | correct = 46.75
	Epochs: 260
		Training:	re(ce) = 0.0522329  (0.0151515 ) | numErrors = 8     | correct = 98.48
		Test:		re(ce) = 0.381789   (0.541126  ) | numErrors = 250   | correct = 45.89
	Epochs: 270
		Training:	re(ce) = 0.0530974  (0.0227273 ) | numErrors = 12    | correct = 97.73
		Test:		re(ce) = 0.383059   (0.525974  ) | numErrors = 243   | correct = 47.40
	Epochs: 280
		Training:	re(ce) = 0.0538345  (0.0227273 ) | numErrors = 12    | correct = 97.73
		Test:		re(ce) = 0.397531   (0.536797  ) | numErrors = 248   | correct = 46.32
	Epochs: 290
		Training:	re(ce) = 0.0610289  (0.0227273 ) | numErrors = 12    | correct = 97.73
		Test:		re(ce) = 0.390932   (0.528139  ) | numErrors = 244   | correct = 47.19
	Epochs: 300
		Training:	re(ce) = 0.0514741  (0.0227273 ) | numErrors = 12    | correct = 97.73
		Test:		re(ce) = 0.401856   (0.551948  ) | numErrors = 255   | correct = 44.81
	Epochs: 310
		Training:	re(ce) = 0.051812   (0.0227273 ) | numErrors = 12    | correct = 97.73
		Test:		re(ce) = 0.393286   (0.541126  ) | numErrors = 250   | correct = 45.89
	Epochs: 320
		Training:	re(ce) = 0.0533112  (0.0189394 ) | numErrors = 10    | correct = 98.11
		Test:		re(ce) = 0.410652   (0.538961  ) | numErrors = 249   | correct = 46.10
	Epochs: 330
		Training:	re(ce) = 0.0496635  (0.0170455 ) | numErrors = 9     | correct = 98.30
		Test:		re(ce) = 0.398324   (0.536797  ) | numErrors = 248   | correct = 46.32
	Epochs: 340
		Training:	re(ce) = 0.063701   (0.0227273 ) | numErrors = 12    | correct = 97.73
		Test:		re(ce) = 0.399594   (0.541126  ) | numErrors = 250   | correct = 45.89
	Epochs: 350
		Training:	re(ce) = 0.0529286  (0.0246212 ) | numErrors = 13    | correct = 97.54
		Test:		re(ce) = 0.397455   (0.528139  ) | numErrors = 244   | correct = 47.19
	Epochs: 360
		Training:	re(ce) = 0.0547966  (0.0189394 ) | numErrors = 10    | correct = 98.11
		Test:		re(ce) = 0.393547   (0.536797  ) | numErrors = 248   | correct = 46.32
	Epochs: 370
		Training:	re(ce) = 0.0458161  (0.0151515 ) | numErrors = 8     | correct = 98.48
		Test:		re(ce) = 0.40229    (0.534632  ) | numErrors = 247   | correct = 46.54
	Epochs: 380
		Training:	re(ce) = 0.0513032  (0.0246212 ) | numErrors = 13    | correct = 97.54
		Test:		re(ce) = 0.391652   (0.532468  ) | numErrors = 246   | correct = 46.75
	Epochs: 390
		Training:	re(ce) = 0.0509509  (0.0189394 ) | numErrors = 10    | correct = 98.11
		Test:		re(ce) = 0.3915     (0.547619  ) | numErrors = 253   | correct = 45.24
	Epochs: 400
		Training:	re(ce) = 0.0810522  (0.0549242 ) | numErrors = 29    | correct = 94.51
		Test:		re(ce) = 0.407009   (0.538961  ) | numErrors = 249   | correct = 46.10
	Epochs: 410
		Training:	re(ce) = 0.0466205  (0.0094697 ) | numErrors = 5     | correct = 99.05
		Test:		re(ce) = 0.403428   (0.530303  ) | numErrors = 245   | correct = 46.97
	Epochs: 420
		Training:	re(ce) = 0.0463662  (0.0170455 ) | numErrors = 9     | correct = 98.30
		Test:		re(ce) = 0.406789   (0.528139  ) | numErrors = 244   | correct = 47.19
	Epochs: 430
		Training:	re(ce) = 0.0461312  (0.0151515 ) | numErrors = 8     | correct = 98.48
		Test:		re(ce) = 0.408863   (0.534632  ) | numErrors = 247   | correct = 46.54
	Epochs: 440
		Training:	re(ce) = 0.0522018  (0.0189394 ) | numErrors = 10    | correct = 98.11
